date,ticker,sector,headline_count,Headline bundle,Finance score,VADER score,Absolute difference,Direction agreement
2020-05-22,WMT,Consumer,10,"Can Amazon Give J.C. Penney a New Lease on Life? | Retail Tournament: Motley Fool-Style | Why Walmart Is Winning in the Retail Space | Wall Street flat amid Sino-U.S. tensions, economic uncertainty | Wall Street ends mixed as China-U.S. ten",1.0,-0.9081,1.9081000000000001,False
2020-11-30,COP,Energy,4,"Why ExxonMobil, Phillips 66, and ConocoPhillips Stocks Crashed Today | US STOCKS-S&P 500 set to open lower, still set for best November ever | US STOCKS-Wall Street retreats, S&P 500 still set for best November ever | US STOCKS-Futures dip ",-1.0,0.9081,1.9081000000000001,False
2021-07-19,CVX,Energy,4,"US STOCKS-Wall Street set to tumble at open as virus surge sparks recovery worries | Is This the Long-Awaited Stock Market Crash? | Dow Jones Tumbles 863 Points on COVID-19 Surge Fears, on Track for Worst Day in Nine Months | 3 High-Yield D",1.0,-0.9081,1.9081000000000001,False
2021-08-20,XOM,Energy,5,"US STOCKS-S&P 500, Dow on track for worst week in 2 months on recovery, taper fears | US STOCKS-S&P 500, Dow set for worst week in 2 mths on recovery, taper fears | Woodside paying new female CEO about 25% less than predecessor | Noteworthy",1.0,-0.9081,1.9081000000000001,False
2022-06-13,DIS,Consumer,15,"Disney Is Crushing the Box Office, but Will It Last? | Disney Is Proving Why It Doesn't Need to Pay a Dividend | New to Investing? These 5 Stocks Make for a Standout Beginner Portfolio | Indian cricket media rights bidding war spills over t",1.0,-0.9065,1.9064999999999999,False
2020-05-05,D,Utilities,11,"Dominion Energy Affirms Full-year Operating Earnings Guidance - Quick Facts | Dominion Energy (D) Q1 Earnings and Revenues Miss Estimates | Bigelow Investment Advisors, LLC Buys iShares MSCI USA ESG Select, FedEx Corp, Amazon. ... | Beech H",-1.0,0.9062,1.9062000000000001,False
2020-06-03,NEM,Materials,6,"7 Hard-to-Believe Gold Facts | BUZZ-U.S. STOCKS ON THE MOVE-Glu Mobile, Boeing, American Eagle | BUZZ-U.S. STOCKS ON THE MOVE-Warner Music, Boeing, Pliant Therapeutics | S&P 500 Movers: NEM, MCHP | Shares of several precious metals companie",-1.0,0.9042,1.9042,False
2023-12-08,QCOM,Tech,11,Wall St futures subdued as rate-cut bets face payrolls' test | Wall St set to dip as upbeat jobs report dampens rate-cut hopes | Where Will Qualcomm Stock Be in 5 Years? | Wall St futures muted as investors eye payrolls data for interest ra,-1.0,0.899,1.899,False
2021-01-25,MRK,Healthcare,16,Why Moderna's COVID Vaccine Is Just the Tip of the Iceberg | US STOCKS-Nasdaq rally cools as stimulus concerns resurface | US STOCKS-Nasdaq scales new high ahead of big-tech earnings; cyclicals lag | US STOCKS-Stimulus jitters dent Wall St',1.0,-0.8979,1.8979,False
2022-01-03,MS,Financials,5,"Morgan Stanley to pay $60 mln to resolve data security lawsuit | Wall Street climbs in upbeat start to 2022 | The Best Stocks to Invest $1,000 in Right Now | Morgan Stanley to pay $60 mln to resolve data security lawsuit | Morgan Stanley Ag",-1.0,0.8979,1.8979,False
2022-09-12,CMCSA,Comm,7,"Activist investor Dan Loeb backs off from asking Disney to sell ESPN | 'Succession,' 'Squid Game' or a surprise? Emmy winners to be unveiled Monday | After Hours Most Active for Sep 12, 2022 : NEE^Q, PLTK, KGC, AMZN, AAPL, IS, MSFT, CMCSA, ",-1.0,0.8977,1.8977,False
2020-10-02,CVX,Energy,7,"Why Oil Giants BP, Chevron, and ConocoPhillips Stocks Tumbled More Than 10% in September | U.S. Supreme Court takes up energy companies' appeal over Baltimore climate suit | U.S. Supreme Court takes up energy companies' appeal over Baltimor",-1.0,0.8957,1.8957000000000002,False
2023-07-14,OXY,Energy,6,"Why These 3 Stocks Are the Best Ways to Play Energy Right Now | The Zacks Analyst Blog Highlights Berkshire Hathaway, Occidental Petroleum, Oceaneering International, Ecopetrol and Battalion Oil | Stocks Fall Back as Inflation Expectations ",-1.0,0.8957,1.8957000000000002,False
2023-12-08,MRK,Healthcare,6,Validea Detailed Fundamental Analysis - MRK | Merck-Eisai's uterine cancer therapy combo fails first-line treatment trial | Merck's (MRK) Keytruda-Lynparza Combo Fails Lung Cancer Study | Merck (MRK) Shares Cross 3% Yield Mark | Company New,1.0,-0.8957,1.8957000000000002,False
2023-10-10,WFC,Financials,7,"US STOCKS-Futures rise on dovish Fed tone, Middle East tensions weigh | Subdued Market Volatility to Hurt Schwab's (SCHW) Q3 Earnings | PREVIEW-US bank profits set to rise on higher rates while Wall Street lags | PREVIEW- US bank profits se",1.0,-0.8934,1.8934,False
2020-04-07,GE,Industrials,5,EXCLUSIVE- U.S. grants GE license to sell engines for China's new airplane | GE Wins U.S. License to Supply Engines for New Chinese Aircraft | Here’s What Makes Danaher Stock a Safe Haven During the Pandemic | How the COVID-19 Pandemic Will,-1.0,0.8918,1.8918,False
2021-08-16,TMUS,Comm,7,3 5G Stocks to Buy Right Now | T-Mobile investigating claims of customer data breach | T-Mobile Probes Claims Of Data Breach Of 100 Mln Customers | SRGA Stock: The CEO Move That Has Surgalign Holdings Surging Today | T-Mobile says it found ,1.0,-0.8885,1.8885,False
2020-08-17,XOM,Energy,3,"Is Dividend Investing Dead? | Guyana puts hold on review of bids for crude lifting tender, VP says | As Uncertainty Remains, Hold Off From Buying Exxon",1.0,-0.886,1.8860000000000001,False
2021-08-20,CVX,Energy,2,"Sexual harassment rife in mine camps, Western Australian inquiry finds | US STOCKS-S&P 500, Dow set for worst week in 2 mths on recovery, taper fears",1.0,-0.886,1.8860000000000001,False
2022-10-06,OXY,Energy,5,"Occidental Petroleum Stock Up 13% In A Week. Here's Why? | Thursday Sector Leaders: Energy, Services | Warren Buffett Is Getting a Helping Hand From a Surprising Source | OPEC+ Production Cut: Watch These Energy Stocks Boom | Interesting OX",-1.0,0.8834,1.8834,False
2022-08-26,T,Comm,5,"Comcast Is Getting More Aggressive With Wireless | Is Disney+ Firing the Wrong Way in a Pricing War? | The 7 Highest Dividend Stocks for Your Income Buy List | The Zacks Analyst Blog Highlights Bank of America, Toyota Motor, AT&T, The Home ",1.0,-0.8832,1.8832,False
2020-01-13,MS,Financials,7,"JPMorgan Analysts Brace For Tepid Q4 Earnings From Big Banks On Weak Interest Income | 6 Mega Bank Stocks to Watch Ahead of Earnings | Benzinga Pro's Top 5 Stocks To Watch For Mon., Jan. 13, 2020: WCC, LULU, XLF, TEAM, BIIB | Earnings Time:",-1.0,0.8823,1.8822999999999999,False
